"sub_id";"sub_name";"subject_type"
5;"Computer Science and Engineering";"Science"
6;"Mechanical Engineering";"Science"
7;"Economics";"Arts"
8;"Physics";"Science"
9;"Chemistry";"Science"
10;"Biology";"Science"
11;"Civil Engineering";"Science"
12;"Electrical and Electronic Engineering";"Science"
13;"History";"Arts"
14;"Mathematics";"Science"
15;"Environmental Science";"Arts"
16;"Psychology";"Arts"
17;"English";"Arts"
18;"Bengali";"Arts"
19;"Philosophy";"Arts"
20;"History";"Arts"
21;"Arabic";"Arts"
22;"Sanskrit";"Arts"
23;"Islamic Studies";"Arts"
24;"Pali and Buddhist Studies";"Arts"
25;"Persian Language and Literature";"Arts"
26;"Finance";"Commerce"
27;"Accounting and Information Systems";"Commerce"
28;"Management";"Commerce"
29;"Marketing";"Commerce"
30;"Banking and Insurance";"Commerce"
31;"International Business";"Commerce"
32;"Tourism and Hospitality Management";"Commerce"
33;"Economics";"Arts"
34;"Sociology";"Social Science"
35;"Political Science";"Social Science"
36;"Social Work";"Social Science"
37;"Mass Communication and Journalism";"Social Science"
38;"International Relations";"Social Science"
39;"Public Administration";"Social Science"
40;"Anthropology";"Social Science"
41;"Botany";"Science"
42;"Zoology";"Science"
43;"Biochemistry and Molecular Biology";"Science"
44;"Microbiology";"Science"
45;"Pharmacy";"Science"
46;"Physics";"Science"
47;"Chemistry";"Science"
48;"Theoretical Physics";"Science"
49;"Applied Mathematics";"Science"
50;"Statistics";"Science"
51;"Computer Science and Engineering";"Science"
52;"Geography and Environment";"Science"
53;"Geology";"Science"
54;"Disaster Science and Management";"Science"
55;"Fine Arts";"Arts"
56;"Graphic Design";"Arts"
57;"Ceramics";"Arts"
58;"Craft";"Arts"
59;"History of Art";"Arts"
60;"Sculpture";"Arts"
61;"Oriental Art";"Arts"
62;"Medicine";"Science"
63;"Surgery";"Science"
64;"Pediatrics";"Science"
65;"Orthopedic Surgery";"Science"
66;"Gynecology and Obstetrics";"Science"
67;"Dermatology";"Science"
68;"Radiology";"Science"
69;"Anesthesiology";"Science"
70;"Electrical and Electronic Engineering";"Science"
71;"Civil Engineering";"Science"
72;"Mechanical Engineering";"Science"
73;"Applied Chemistry and Chemical Engineering";"Science"
74;"Materials and Metallurgical Engineering";"Science"
75;"Nuclear Engineering";"Science"
76;"Industrial and Production Engineering";"Science"
77;"Water Resources Engineering";"Science"
78;"Chemical Engineering";"Science"
79;"Materials and Metallurgical Engineering";"Science"
80;"Nanomaterials and Ceramic Engineering";"Science"
81;"Civil Engineering";"Science"
82;"Water Resource Engineering";"Science"
83;"Mechanical Engineering";"Science"
84;"Naval Architecture and Marine Engineering";"Science"
85;"Industrial and Production Engineering";"Science"
86;"Electrical and Electronic Engineering";"Science"
87;"Computer Science and Engineering";"Science"
88;"Biomedical Engineering";"Science"
89;"Architecture";"Science"
90;"Urban and Regional Planning";"Science"
91;"Law";"Social Science"
